date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:18:28	191715/191715	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2011:18:28%20GMT	https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m	C:/My%20Web%20Sites/2026%20cameloin/ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m.html	(from )
03:18:29	169/169	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Jan%202026%2011:18:29%20GMT	https://ipfs.io/robots.txt		(from )
03:18:31	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/My%20Web%20Sites/2026%20cameloin/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
03:18:31	23427/23427	---M-Z	200	added ('OK')	text/css	etag:%2206d5d5d6d8cdc1:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/My%20Web%20Sites/2026%20cameloin/www.w3schools.com/w3css/4/w3.css	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
03:18:32	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	C:/My%20Web%20Sites/2026%20cameloin/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
03:18:33	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/My%20Web%20Sites/2026%20cameloin/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
03:18:34	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/My%20Web%20Sites/2026%20cameloin/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
03:18:37	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/My%20Web%20Sites/2026%20cameloin/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
03:18:38	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267176c242e1bdc20603c878dee836df3%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	C:/My%20Web%20Sites/2026%20cameloin/stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
03:18:39	24569/24569	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:11%20GMT	https://unpkg.com/bowser@2.7.0/es5.js	C:/My%20Web%20Sites/2026%20cameloin/unpkg.com/bowser@2.7.0/es5.js	(from https://ipfs.io/ipfs/bafkreidczrcr2onw5xfjvlwdnmwmaudhfakjxnlkenwznof2v4noyp276m)
